goodreads_id,goodreads_url,avg_rating,rating_count,review_count,scrape_status,dist_5_star_raw,count_5_star,pct_5_star,dist_4_star_raw,count_4_star,pct_4_star,dist_3_star_raw,count_3_star,pct_3_star,dist_2_star_raw,count_2_star,pct_2_star,dist_1_star_raw,count_1_star,pct_1_star,book_title,author,polarization,rating_skew,http_status,is_study_guide,log_rating_count,data_quality,pen_genre,total_ban_instances,states_banned_in
34084,https://www.goodreads.com/book/show/34084,4.25,248467.0,8981.0,ok,"112,837 (45%)",112837.0,45.0,"94,697 (38%)",94697.0,38.0,"33,837 (13%)",33837.0,13.0,"5,431 (2%)",5431.0,2.0,"1,665 (<1%)",,,The Waste Lands,"King, Stephen",0.45,0.45,,False,5.395268716330558,Good,"Fantasy, Fiction, Horror, Science Fiction, Audiobook, Adventure, Westerns",6,2
10605,https://www.goodreads.com/book/show/10605,3.78,227943.0,4966.0,ok,"65,662 (28%)",65662.0,28.0,"73,067 (32%)",73067.0,32.0,"66,801 (29%)",66801.0,29.0,"18,127 (7%)",18127.0,7.0,"4,286 (1%)",4286.0,1.0,Thinner,"King, Stephen",0.29,0.27,,False,5.357826259806013,Good,"Horror, Fiction, Thriller, Fantasy, Supernatural, Paranormal, Audiobook",3,1
5096,https://www.goodreads.com/book/show/5096,4.27,221117.0,9286.0,ok,"109,731 (49%)",109731.0,49.0,"72,325 (32%)",72325.0,32.0,"30,069 (13%)",30069.0,13.0,"6,951 (3%)",6951.0,3.0,"2,041 (<1%)",,,Wizard and Glass,"King, Stephen",0.49,0.49,,False,5.344622133453312,Good,"Fantasy, Fiction, Horror, Science Fiction, Audiobook, Westerns, Adventure",6,2
4978,https://www.goodreads.com/book/show/4978,4.2,202704.0,6680.0,ok,"89,509 (44%)",89509.0,44.0,"74,735 (36%)",74735.0,36.0,"30,328 (14%)",30328.0,14.0,"6,144 (3%)",6144.0,3.0,"1,988 (<1%)",,,Wolves of the Calla,"King, Stephen",0.44,0.44,,False,5.306862318800495,Good,"Fantasy, Fiction, Horror, Science Fiction, Audiobook, Westerns, Adventure",7,2
14250,https://www.goodreads.com/book/show/14250,4.02,68928.0,3026.0,ok,"21,914 (31%)",21914.0,31.0,"29,957 (43%)",29957.0,43.0,"14,283 (20%)",14283.0,20.0,"2,182 (3%)",2182.0,3.0,592 (<1%),,,Pigs In Heaven,"Kingsolver, Barbara",0.31,0.31,,False,4.838395677281869,Good,"Fiction, Contemporary, Literary Fiction, Adult Fiction, Novels, Native American, Adult",1,1
14249,https://www.goodreads.com/book/show/14249,4.05,128927.0,9265.0,ok,"47,837 (37%)",47837.0,37.0,"49,249 (38%)",49249.0,38.0,"24,455 (18%)",24455.0,18.0,"5,620 (4%)",5620.0,4.0,"1,766 (1%)",1766.0,1.0,Prodigal Summer,"Kingsolver, Barbara",0.38,0.36,,False,5.110343877191235,Good,"Fiction, Nature, Contemporary, Literary Fiction, Novels, Audiobook, Adult",1,1
30868,https://www.goodreads.com/book/show/30868,4.01,175403.0,9260.0,ok,"57,336 (32%)",57336.0,32.0,"73,619 (41%)",73619.0,41.0,"36,025 (20%)",36025.0,20.0,"6,572 (3%)",6572.0,3.0,"1,851 (1%)",1851.0,1.0,The Bean Trees,"Kingsolver, Barbara",0.33,0.31,,False,5.244037017036314,Good,"Fiction, Contemporary, Literary Fiction, Novels, Adult Fiction, Classics, Adult",1,1
7244,https://www.goodreads.com/book/show/7244,4.11,795594.0,31954.0,ok,"363,303 (45%)",363303.0,45.0,"247,540 (31%)",247540.0,31.0,"119,801 (15%)",119801.0,15.0,"40,586 (5%)",40586.0,5.0,"24,364 (3%)",24364.0,3.0,The Poisonwood Bible,"Kingsolver, Barbara",0.48,0.42,,False,5.900691499217711,Good,"Fiction, Historical Fiction, Africa, Classics, Historical, Literary Fiction, Literature",1,1
9416,https://www.goodreads.com/book/show/9416,3.71,810495.0,15070.0,ok,"237,684 (29%)",237684.0,29.0,"251,903 (31%)",251903.0,31.0,"211,463 (26%)",211463.0,26.0,"70,686 (8%)",70686.0,8.0,"38,759 (4%)",38759.0,4.0,Confessions of a Shopaholic,"Kinsella, Sophie",0.33,0.25,,False,5.908750339999947,Good,"Chick Lit, Fiction, Romance, Contemporary, Humor, Adult, Contemporary Romance",1,1
149458784,https://www.goodreads.com/book/show/149458784,3.0,,0.0,ok,0 (0%),0.0,0.0,0 (0%),0.0,0.0,1 (100%),1.0,100.0,0 (0%),0.0,0.0,0 (0%),0.0,0.0,Shopaholic and Baby,"Kinsella, Sophie",0.0,0.0,,False,,Good,"Compulsive shopping, Fiction, Bloomwood, Becky (Fictitious character)",1,1
138396,https://www.goodreads.com/book/show/138396,4.23,43136.0,2097.0,ok,"18,593 (43%)",18593.0,43.0,"16,949 (39%)",16949.0,39.0,"6,521 (15%)",6521.0,15.0,857 (1%),857.0,1.0,216 (<1%),,,"The Walking Dead, Vol. 2: Miles Behind Us","Kirkman, Robert",0.43,0.43,,False,4.634839870519207,Good,"Comics & Graphic Novels, Comic books, strips, etc",1,1
204041,https://www.goodreads.com/book/show/204041,4.55,30429.0,330.0,ok,"21,303 (70%)",21303.0,70.0,"5,788 (19%)",5788.0,19.0,"2,554 (8%)",2554.0,8.0,486 (1%),486.0,1.0,298 (<1%),,,"Naruto, Vol. 11: Impassioned efforts","Kishimoto, Masashi",0.7,0.7,,False,4.483287680205094,Good,"Comics & Graphic Novels, Competition (Psychology)",1,1
5180068,https://www.goodreads.com/book/show/5180068,4.49,249.0,5.0,ok,169 (67%),169.0,67.0,46 (18%),46.0,18.0,24 (9%),24.0,9.0,8 (3%),8.0,3.0,2 (<1%),,,"Naruto, Vol. 2: Test of a Ninja","Kishimoto, Masashi",0.67,0.67,,False,2.3961993470957363,Good,"Juvenile Fiction, Comics & Graphic Novels",1,1
1846794,https://www.goodreads.com/book/show/1846794,4.4,8955.0,244.0,ok,"5,157 (57%)",5157.0,57.0,"2,485 (27%)",2485.0,27.0,"1,098 (12%)",1098.0,12.0,170 (1%),170.0,1.0,45 (<1%),,,"Naruto, Vol. 28: Homecoming","Kishimoto, Masashi",0.57,0.57,,False,3.9520655901850503,Good,"Comics & Graphic Novels, Ninja",1,1
5822946,https://www.goodreads.com/book/show/5822946,4.32,6133.0,173.0,ok,"3,243 (52%)",3243.0,52.0,"1,790 (29%)",1790.0,29.0,936 (15%),936.0,15.0,137 (2%),137.0,2.0,27 (<1%),,,"Naruto, Vol. 38: Practice Makes Perfect","Kishimoto, Masashi",0.52,0.52,,False,3.787672964687493,Good,"Comics & Graphic Novels, Comic books, strips, etc, Competition (Psychology)",1,1
130795601,https://www.goodreads.com/book/show/130795601,4.3,5334.0,124.0,ok,"2,807 (52%)",2807.0,52.0,"1,524 (28%)",1524.0,28.0,812 (15%),812.0,15.0,159 (2%),159.0,2.0,32 (<1%),,,"Naruto, Vol. 52: Cell Seven Reunion","Kishimoto, Masashi",0.52,0.52,,False,3.727053011353857,Good,"Comics & Graphic Novels, Graphic novels",1,1
128018163,https://www.goodreads.com/book/show/128018163,0.0,0.0,0.0,ok,0 (0%),0.0,0.0,0 (0%),0.0,0.0,0 (0%),0.0,0.0,0 (0%),0.0,0.0,0 (0%),0.0,0.0,Gert Garibaldi's Rants and Raves: One Butt Cheek at a Time,"Kizer, Amber",0.0,0.0,,False,0.0,Very Low Ratings,"Juvenile Fiction, Young Adult Fiction",1,1
419783,https://www.goodreads.com/book/show/419783,3.72,1114.0,164.0,ok,321 (28%),321.0,28.0,363 (32%),363.0,32.0,278 (24%),278.0,24.0,102 (9%),102.0,9.0,50 (4%),50.0,4.0,Firestorm,"Klass, David",0.32,0.24,,False,3.04688519083771,Good,Juvenile Fiction,1,1
457557,https://www.goodreads.com/book/show/457557,3.9,9271.0,732.0,ok,"3,303 (35%)",3303.0,35.0,"2,878 (31%)",2878.0,31.0,"2,184 (23%)",2184.0,23.0,655 (7%),655.0,7.0,251 (2%),251.0,2.0,You Don't Know Me,"Klass, David",0.37,0.33,,False,3.9671265810764127,Good,"Young Adult, Fiction, Realistic Fiction, Abuse, Contemporary, Teen, High School",1,1
486494,https://www.goodreads.com/book/show/486494,3.74,1127.0,92.0,ok,281 (24%),281.0,24.0,414 (36%),414.0,36.0,320 (28%),320.0,28.0,83 (7%),83.0,7.0,29 (2%),29.0,2.0,Don't Say a Word,"Klavan, Andrew",0.26,0.22,,False,3.0519239160461065,Good,"Thriller, Fiction, Crime, Mystery, Suspense, Mystery Thriller, Adult",1,1
159081992,https://www.goodreads.com/book/show/159081992,4.33,3.0,,ok,1 (33%),1.0,33.0,2 (66%),2.0,66.0,0 (0%),0.0,0.0,0 (0%),0.0,0.0,0 (0%),0.0,0.0,Primary Colors: A Novel of Politics,"Klein, Joe",0.33,0.33,,False,0.47712125471966244,Very Low Ratings,Fiction,1,1
17170676,https://www.goodreads.com/book/show/17170676,2.83,6.0,3.0,ok,0 (0%),0.0,0.0,2 (33%),2.0,33.0,1 (16%),1.0,16.0,3 (50%),3.0,50.0,0 (0%),0.0,0.0,Rape and Sexual Assault: Healing and Recovery,"Klein, Rebecca T.",0.0,0.0,,False,0.7781512503836436,Very Low Ratings,Juvenile Nonfiction,1,1
15818107,https://www.goodreads.com/book/show/15818107,4.2,465093.0,33242.0,ok,"188,363 (40%)",188363.0,40.0,"197,313 (42%)",197313.0,42.0,"66,439 (14%)",66439.0,14.0,"10,067 (2%)",10067.0,2.0,"2,911 (<1%)",,,Orphan Train,"Kline, Christina Baker",0.4,0.4,,False,5.667539803101603,Good,"Historical Fiction, Fiction, Historical, Book Club, Adult, Adult Fiction, Audiobook",5,2
599,https://www.goodreads.com/book/show/599,3.74,72759.0,3957.0,ok,"19,207 (26%)",19207.0,26.0,"26,593 (36%)",26593.0,36.0,"18,223 (25%)",18223.0,25.0,"6,126 (8%)",6126.0,8.0,"2,610 (3%)",2610.0,3.0,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto","Klosterman, Chuck",0.29,0.23,,False,4.8618867214872905,Good,"Nonfiction, Essays, Humor, Pop Culture, Music, Cultural, Memoir",1,1
20257122,https://www.goodreads.com/book/show/20257122,4.18,30917.0,2867.0,ok,"14,325 (46%)",14325.0,46.0,"10,115 (32%)",10115.0,32.0,"4,799 (15%)",4799.0,15.0,"1,111 (3%)",1111.0,3.0,567 (1%),567.0,1.0,"Finding Me: A Decade of Darkness, A Life Reclaimed: A Memoir","Knight, Michelle",0.47,0.45,,False,4.4901973459624696,Good,Biography & Autobiography,3,2
20775020,https://www.goodreads.com/book/show/20775020,3.82,6457.0,828.0,ok,"1,598 (24%)",1598.0,24.0,"2,596 (40%)",2596.0,40.0,"1,828 (28%)",1828.0,28.0,352 (5%),352.0,5.0,83 (1%),83.0,1.0,An Age of License: A Travelogue,"Knisley, Lucy",0.25,0.23,,False,3.8100307864058394,Good,Comics & Graphic Novels,1,1
201779066,https://www.goodreads.com/book/show/201779066,3.0,,0.0,ok,0 (0%),0.0,0.0,0 (0%),0.0,0.0,1 (100%),1.0,100.0,0 (0%),0.0,0.0,0 (0%),0.0,0.0,Luckiest Girl Alive,"Knoll, Jessica",0.0,0.0,,False,,Good,"Fiction, Thriller, Mystery, Audiobook, Mystery Thriller, Contemporary, Adult",1,1
