book_title,author,goodreads_id,goodreads_url,found,match_score,matched_title,matched_author,reason
My Whole Truth,"Thrace, Mischa",36330412,https://www.goodreads.com/book/show/36330412-my-whole-truth?from_search=true&from_srp=true&qid=mVVvkL2RAm&rank=1,True,0.9192,My Whole Truth,Mischa Thrace,ok
The Will of the Empress (The Circle Reforged Series),"Pierce, Tamora",,,False,,,,no_candidates
Baby & Solo,"Posthuma, Lisabeth",44084731,https://www.goodreads.com/book/show/44084731-baby-solo?from_search=true&from_srp=true&qid=BdzHNxMqmD&rank=1,True,0.9206,Baby & Solo,Lisabeth Posthuma,ok
Be Dazzled,"La Sala, Ryan",45184231,https://www.goodreads.com/book/show/45184231-be-dazzled?from_search=true&from_srp=true&qid=4Qqh1NwxtN&rank=1,True,0.9375,Be Dazzled,Ryan La Sala,ok
To All the Boys I've Loved Before (To All the Boys I've Loved Before Series),"Han, Jenny",55962359,https://www.goodreads.com/book/show/55962359-to-all-the-boys-i-ve-loved-before?from_search=true&from_srp=true&qid=4PHcuZA1gK&rank=8,True,0.9333,"To All the Boys I've Loved Before (The To All the Boys I've Loved Before Series, Book 1)",Jenny Han,ok
Amelia Westlake Was Never Here,"Gough, Erin",41716926,https://www.goodreads.com/book/show/41716926-amelia-westlake-was-never-here?from_search=true&from_srp=true&qid=qgzzY5nX0j&rank=1,True,0.925,Amelia Westlake Was Never Here,Erin Gough,ok
Rebel Girl Revolution (Fat Angie Series),"Charlton-Trujillo, E. E.",,,False,,,,no_candidates
Gearbreakers (Gearbreakers Series),"Mikuta, Zoe Hana",228685605,https://www.goodreads.com/book/show/228685605-gearbreakers?from_search=true&from_srp=true&qid=V2SjmQn7cb&rank=2,True,0.93,Gearbreakers (The Gearbreakers Series),Zoe Hana Mikuta,ok
The Hammer of Thor (Magnus Chase and the Gods of Asgard Series),"Riordan, Rick",91982307,https://www.goodreads.com/book/show/91982307-the-hammer-of-thor-magnus-chase-and-the-gods-of-asgard-series-2?from_search=true&from_srp=true&qid=gX0y3DhFeh&rank=1,True,0.9375,The Hammer of Thor (Magnus Chase and the Gods of Asgard Series #2) (Chinese Edition),Rick Riordan,ok
"Blue Flag, Vol. 5 (Blue Flag Series)",Kaito,,,False,,,,no_candidates
The Year Shakespeare Ruined My Life,"Jansen, Dani",51372783,https://www.goodreads.com/book/show/51372783-the-year-shakespeare-ruined-my-life?from_search=true&from_srp=true&qid=pbw2v2Ahrw&rank=1,True,0.9318,The Year Shakespeare Ruined My Life,Dani Jansen,ok
On a Sunbeam (On a Sunbeam Series),"Walden, Tillie",,,False,,,,no_candidates
Out Now: Queer We Go Again!,"Mitchell, Saundra",52172088,https://www.goodreads.com/book/show/52172088-out-now?from_search=true&from_srp=true&qid=kG3UoxXVKg&rank=1,True,0.925,Out Now: Queer We Go Again!,Saundra Mitchell,ok
Things We Couldn't Say,"Coles, Jay",55977932,https://www.goodreads.com/book/show/55977932-things-we-couldn-t-say?from_search=true&from_srp=true&qid=S85nF3UG3d&rank=1,True,0.9333,Things We Couldn't Say,Jay Coles,ok
Sword in the Stars (Once & Future Series),"Capetta, Amy Rose",,,False,,,,no_candidates
Blankets,"Thompson, Craig",25179,https://www.goodreads.com/book/show/25179.Blankets?from_search=true&from_srp=true&qid=e8ZGWIeRGM&rank=2,True,0.9357,Blankets,Craig Thompson,ok
Beyond the Gender Binary,"Vaid-Menon, Alok",51794301,https://www.goodreads.com/book/show/51794301-beyond-the-gender-binary?from_search=true&from_srp=true&qid=NvHR2UhFBE&rank=1,True,0.95,Beyond the Gender Binary,Alok Vaid-Menon,ok
"The Legend of Korra: Turf Wars, Part Three","DiMartino, Michael Dante",36913851,https://www.goodreads.com/book/show/36913851-the-legend-of-korra?from_search=true&from_srp=true&qid=EGqf60pqcG&rank=1,True,0.9348,"The Legend of Korra: Turf Wars, Part Three (The Legend of Korra: Turf Wars, #3)",Michael Dante DiMartino,ok
What We Devour,"Miller, Linsey",45184284,https://www.goodreads.com/book/show/45184284-what-we-devour?from_search=true&from_srp=true&qid=my2Picz7vk&rank=1,True,0.9192,What We Devour,Linsey Miller,ok
The Henna Wars,"Jaigirdar, Adiba",44286258,https://www.goodreads.com/book/show/44286258-the-henna-wars?from_search=true&from_srp=true&qid=GjhcLU6oph&rank=1,True,0.94,The Henna Wars,Adiba Jaigirdar,ok
The Dark Prophecy (The Trials of Apollo Series),"Riordan, Rick",35065281,https://www.goodreads.com/book/show/35065281-the-dark-prophecy?from_search=true&from_srp=true&qid=7OIT4BZBnq&rank=2,True,0.9375,The Dark Prophecy (The Trials of Apollo Series #2),Rick Riordan,ok
Gender Issues and Sexuality: Essential Primary Sources,"Lerner, K. Lee",,,False,,,,no_candidates
Crown of Feathers (Crown of Feathers Series),"Pau Preto, Nicki",40998876,https://www.goodreads.com/book/show/40998876-crown-of-feathers?from_search=true&from_srp=true&qid=l2nsI1J1Rp&rank=2,True,0.94,"Crown of Feathers (Crown of Feathers Series, 1)",Nicki Pau Preto,ok
The Girls Are Never Gone,"Marsh, Sarah Glenn",56858191,https://www.goodreads.com/book/show/56858191-the-girls-are-never-gone?from_search=true&from_srp=true&qid=HsLXPXpPtf&rank=1,True,0.9471,The Girls Are Never Gone,Sarah Glenn Marsh,ok
Sasha Masha,"Borinsky, Agnes",52751335,https://www.goodreads.com/book/show/52751335-sasha-masha?from_search=true&from_srp=true&qid=HTR3GPsFgd&rank=1,True,0.9357,Sasha Masha,Agnes Borinsky,ok
It Goes Like This,"Moreland, Miel",54017865,https://www.goodreads.com/book/show/54017865-it-goes-like-this?from_search=true&from_srp=true&qid=oj4GUs6vCS&rank=1,True,0.9423,It Goes Like This,Miel Moreland,ok
Saints of Augustine,"Ryan, P. E.",717525,https://www.goodreads.com/book/show/717525.Saints_of_Augustine?from_search=true&from_srp=true&qid=ePxBke2nvQ&rank=1,True,0.925,Saints of Augustine,P.E. Ryan,ok
Living Proud! Coming Out and Seeking Support (Living Proud! Growing Up Lgbtq),"Rodi, Robert",,,False,,,,no_candidates
The Pull of the Stars,"Donoghue, Emma",52722079,https://www.goodreads.com/book/show/52722079-the-pull-of-the-stars?from_search=true&from_srp=true&qid=wa90Ch6NFV&rank=2,True,0.9423,The Pull of the Stars,Emma Donoghue,ok
"Nonbinary Gender Identities: History, Culture, Resources","McNabb, Charlie",35585046,https://www.goodreads.com/book/show/35585046-nonbinary-gender-identities?from_search=true&from_srp=true&qid=98er3QYMnI&rank=1,True,0.925,"Nonbinary Gender Identities: History, Culture, Resources",Charlie McNabb,ok
Homecoming (Fat Angie Series),"Charlton-Trujillo, E. E.",,,False,,,,no_candidates
"RIPPED-APART Understanding, Coping and Living with Gender Dysphoria","Knight, Traci M.",,,False,,,,no_candidates
Ramona Blue,"Murphy, Julie",31449227,https://www.goodreads.com/book/show/31449227-ramona-blue?from_search=true&from_srp=true&qid=dDvb0mwJO9&rank=1,True,0.925,Ramona Blue,Julie   Murphy,ok
Once & Future,"Capetta, Amy Rose",44771375,https://www.goodreads.com/book/show/44771375-once-future?from_search=true&from_srp=true&qid=MOIaPXZD6X&rank=1,True,0.925,"Once & Future (Once & Future, #1)",Amy Rose Capetta,ok
I'll Be the One,"Lee, Lyla",53098416,https://www.goodreads.com/book/show/53098416-i-ll-be-the-one?from_search=true&from_srp=true&qid=lp9cKI0HgK&rank=1,True,0.925,I'll Be the One,Lyla Lee,ok
Bloom,"Panetta, Kevin",39073387,https://www.goodreads.com/book/show/39073387-bloom?from_search=true&from_srp=true&qid=e6zrX1Zw33&rank=1,True,0.9308,Bloom,Kevin Panetta,ok
Golden Boy,"Tarttelin, Abigail",132000214,https://www.goodreads.com/book/show/132000214-golden-boy?from_search=true&from_srp=true&qid=6hACcbIPdd&rank=1,True,0.9294,Golden Boy,Abigail Tarttelin,ok
Lair of Dreams (The Diviners Series),"Bray, Libba",,,False,,,,no_candidates
Pulp,"Talley, Robin",32970644,https://www.goodreads.com/book/show/32970644-pulp?from_search=true&from_srp=true&qid=EChBfY70IA&rank=1,True,0.925,Pulp,Robin Talley,ok
A Perfect Blank,"Duran, Rye",52439297,https://www.goodreads.com/book/show/52439297-a-perfect-blank?from_search=true&from_srp=true&qid=CPQMEupVsn&rank=1,True,0.9333,A Perfect Blank,Rye Duran,ok
"Blue Flag, Vol. 1 (Blue Flag Series)",Kaito,,,False,,,,no_candidates
Black and White,"Volponi, Paul",292199,https://www.goodreads.com/book/show/292199.Black_and_White?from_search=true&from_srp=true&qid=4jLetFgpoP&rank=1,True,0.9375,Black and White,Paul Volponi,ok
The (Un)Popular Vote,"Sanchez, Jasper",55200704,https://www.goodreads.com/book/show/55200704-the-un-popular-vote?from_search=true&from_srp=true&qid=pa6TnaNtp8&rank=1,True,0.8521,The [Un]Popular Vote,Jasper Sanchez,ok
A Lesson in Vengeance,"Lee, Victoria",50999821,https://www.goodreads.com/book/show/50999821-a-lesson-in-vengeance?from_search=true&from_srp=true&qid=k3R4YCd5Gj&rank=1,True,0.95,A Lesson in Vengeance,Victoria  Lee,ok
Kate in Waiting,"Albertalli, Becky",48579405,https://www.goodreads.com/book/show/48579405-kate-in-waiting?from_search=true&from_srp=true&qid=UV690pO3E3&rank=1,True,0.9437,Kate in Waiting,Becky Albertalli,ok
Labyrinth Lost (Brooklyn Brujas Series),"Córdova, Zoraida",59483386,https://www.goodreads.com/book/show/59483386-labyrinth-lost?from_search=true&from_srp=true&qid=6n7JnOGpAl&rank=1,True,0.92,Labyrinth Lost (The Brooklyn Brujas Series),Zoraida Córdova,ok
Tarnished Are the Stars,"Thor, Rosiee",56966425,https://www.goodreads.com/book/show/56966425-tarnished-are-the-stars?from_search=true&from_srp=true&qid=wjfxsjzYGF&rank=1,True,0.9318,Tarnished are the stars,Rosiee Thor,ok
Can't Take That Away,"Salvatore, Steven",53138213,https://www.goodreads.com/book/show/53138213-can-t-take-that-away?from_search=true&from_srp=true&qid=ZExHamw1hs&rank=1,True,0.9344,Can't Take That Away,Steven Salvatore,ok
The ABC's of LGBT+,"Mardell, Ashley",28783749,https://www.goodreads.com/book/show/28783749-the-abc-s-of-lgbt?from_search=true&from_srp=true&qid=0w3cULIwZI&rank=1,True,0.925,The ABC's of LGBT+,Ashley Mardell,ok
You Should See Me in a Crown,"Johnson, Leah",50160619,https://www.goodreads.com/book/show/50160619-you-should-see-me-in-a-crown?from_search=true&from_srp=true&qid=iSGcn4S5d2&rank=2,True,0.9375,You Should See Me in a Crown,Leah  Johnson,ok
The Falling in Love Montage,"Smyth, Ciara",53066661,https://www.goodreads.com/book/show/53066661-the-falling-in-love-montage?from_search=true&from_srp=true&qid=cas69wZ2WA&rank=1,True,0.9182,The Falling in Love Montage,Ciara Smyth,ok
Dark and Deepest Red,"McLemore, Anna-Marie",44218347,https://www.goodreads.com/book/show/44218347-dark-and-deepest-red?from_search=true&from_srp=true&qid=7nJ9bokr9H&rank=1,True,0.9289,Dark and Deepest Red,Anna-Marie McLemore,ok
Leah on the Offbeat (Simonverse Series),"Albertalli, Becky",,,False,,,,no_candidates
Unbecoming,"Downham, Jenny",25582543,https://www.goodreads.com/book/show/25582543-unbecoming?from_search=true&from_srp=true&qid=0l99Mopw9c&rank=2,True,0.9308,Unbecoming,Jenny Downham,ok
May the Best Man Win,"Ellor, Z. R.",55540735,https://www.goodreads.com/book/show/55540735-may-the-best-man-win?from_search=true&from_srp=true&qid=u44PspLQiy&rank=1,True,0.9333,May the Best Man Win,Z.R. Ellor,ok
The Lucky List,"Lippincott, Rachael",55851119,https://www.goodreads.com/book/show/55851119-the-lucky-list?from_search=true&from_srp=true&qid=ue2OljC1mu&rank=1,True,0.9333,The Lucky List,Rachael Lippincott,ok
Elevation,"King, Stephen",38355410,https://www.goodreads.com/book/show/38355410-elevation?from_search=true&from_srp=true&qid=55iXSwYbvn&rank=1,True,0.9375,Elevation,Stephen  King,ok
SELF-ish: A Transgender Awakening,"Schwenke, Chloe",37937273,https://www.goodreads.com/book/show/37937273-self-ish?from_search=true&from_srp=true&qid=tfQZ9J89Sm&rank=1,True,0.9357,SELF-ish: A Transgender Awakening,Chloe Schwenke,ok
The Passing Playbook,"Fitzsimons, Isaac",42969261,https://www.goodreads.com/book/show/42969261-the-passing-playbook?from_search=true&from_srp=true&qid=KJECBBUkVz&rank=2,True,0.9437,The Passing Playbook,Isaac Fitzsimons,ok
The Inexplicable Logic of My Life,"Sáenz, Benjamin Alire",23447923,https://www.goodreads.com/book/show/23447923-the-inexplicable-logic-of-my-life?from_search=true&from_srp=true&qid=9EtA5oJrkT&rank=2,True,0.955,The Inexplicable Logic of My Life,Benjamin Alire Sáenz,ok
Perfect on Paper,"Gonzales, Sophie",49204960,https://www.goodreads.com/book/show/49204960-perfect-on-paper?from_search=true&from_srp=true&qid=4qVzOUOzIl&rank=1,True,0.93,Perfect on Paper,Sophie Gonzales,ok
Speak No Evil,"Iweala, Uzodinma",35180983,https://www.goodreads.com/book/show/35180983-speak-no-evil?from_search=true&from_srp=true&qid=MgK41S7Cw8&rank=1,True,0.93,Speak No Evil,Uzodinma Iweala,ok
The Porcupine of Truth,"Konigsberg, Bill",23388164,https://www.goodreads.com/book/show/23388164-the-porcupine-of-truth?from_search=true&from_srp=true&qid=WGDO8UXjjt&rank=1,True,0.95,The Porcupine of Truth,Bill Konigsberg,ok
Heiress Apparently (Daughters of the Dynasty Series),"Ma, Diana",,,False,,,,no_candidates
Girl on the Line,"Gardner, Faith",53240831,https://www.goodreads.com/book/show/53240831-girl-on-the-line?from_search=true&from_srp=true&qid=B8gLNXDyZv&rank=1,True,0.3132,Girl on the Line: An Authentic YA Romance About Mental Health and Finding Hope After Surviving Suicide,Faith   Gardner,ok
