book_title,author,goodreads_id,goodreads_url,found,search_query,avg_rating,rating_count,review_count,want_to_read,dist_5_star,dist_4_star,dist_3_star,dist_2_star,dist_1_star
American Psycho,"Ellis, Bret Easton",28676.0,https://www.goodreads.com/book/show/28676.American_Psycho?from_search=true&from_srp=true&qid=yMZfy8Fkya&rank=1,True,"American Psycho Ellis, Bret Easton",3.80,363432,,,"113,347 (31%)","127,569 (35%)","76,735 (21%)","28,807 (7%)","16,974 (4%)"
Anatomy of a Boyfriend,"Snadowsky, Daria",37780.0,https://www.goodreads.com/book/show/37780.Anatomy_of_a_Boyfriend?from_search=true&from_srp=true&qid=9M5KALFI40&rank=1,True,"Anatomy of a Boyfriend Snadowsky, Daria",3.39,5161,,,"1,015 (19%)","1,345 (26%)","1,731 (33%)",801 (15%),269 (5%)
And They Lived...,"Salvatore, Steven",57552438.0,https://www.goodreads.com/book/show/57552438-and-they-lived?from_search=true&from_srp=true&qid=3JvapedsNK&rank=1,True,"And They Lived... Salvatore, Steven",3.94,3452,,,"1,297 (37%)","1,124 (32%)",689 (19%),228 (6%),114 (3%)
Beautiful,"Reed, Amy",6323474.0,https://www.goodreads.com/book/show/6323474-beautiful?from_search=true&from_srp=true&qid=54NuyOFtvE&rank=1,True,"Beautiful Reed, Amy",3.66,5578,,,"1,776 (31%)","1,425 (25%)","1,391 (24%)",652 (11%),334 (5%)
Beautiful Disaster,"McGuire, Jamie",11505797.0,https://www.goodreads.com/book/show/11505797-beautiful-disaster?from_search=true&from_srp=true&qid=MzNkOOP2ro&rank=1,True,"Beautiful Disaster McGuire, Jamie",4.00,708256,,,"323,170 (45%)","183,220 (25%)","116,099 (16%)","48,554 (6%)","37,213 (5%)"
Call Me By Your Name,"Aciman, André",37924244.0,https://www.goodreads.com/book/show/37924244-call-me-by-your-name?from_search=true&from_srp=true&qid=wzmLO3JQo8&rank=1,True,"Call Me By Your Name Aciman, André",3.40,15,,,4 (26%),4 (26%),4 (26%),0 (0%),3 (20%)
Clockwork Orange,"Burgess, Anthony",49909479.0,https://www.goodreads.com/book/show/49909479-a-clockwork-orange-by-anthony-burgess-book-analysis?from_search=true&from_srp=true&qid=maeETZIZ2C&rank=1,True,"Clockwork Orange Burgess, Anthony",4.50,4,review,,2 (50%),2 (50%),0 (0%),0 (0%),0 (0%)
Collateral,"Hopkins, Ellen",12651912.0,https://www.goodreads.com/book/show/12651912-collateral?from_search=true&from_srp=true&qid=rbDPLqk0JU&rank=1,True,"Collateral Hopkins, Ellen",3.90,3945,,,"1,394 (35%)","1,242 (31%)",935 (23%),275 (6%),99 (2%)
Crank,"Hopkins, Ellen",12437190.0,https://www.goodreads.com/book/show/12437190-crank-by-ellen-hopkins-l-summary-study-guide?from_search=true&from_srp=true&qid=PjfjZfn1Vp&rank=1,True,"Crank Hopkins, Ellen",4.60,48,,,35 (72%),8 (16%),4 (8%),1 (2%),0 (0%)
Damsel,"Arnold, Elana K.",36260155.0,https://www.goodreads.com/book/show/36260155-damsel?from_search=true&from_srp=true&qid=S68CSyRSo1&rank=1,True,"Damsel Arnold, Elana K.",3.30,11499,,,"2,099 (18%)","3,339 (29%)","3,117 (27%)","1,746 (15%)","1,198 (10%)"
Exit Here.,"Myers, Jason",1240370.0,https://www.goodreads.com/book/show/1240370.Exit_Here_?from_search=true&from_srp=true&qid=yJ5xR4YX3P&rank=1,True,"Exit Here. Myers, Jason",3.89,5574,,,"2,250 (40%)","1,476 (26%)","1,102 (19%)",454 (8%),292 (5%)
Forbidden,"Suzuma, Tabitha",7600924.0,https://www.goodreads.com/book/show/7600924-forbidden?from_search=true&from_srp=true&qid=rjmDwVvQiL&rank=1,True,"Forbidden Suzuma, Tabitha",3.95,76143,,,"30,874 (40%)","23,029 (30%)","13,437 (17%)","5,501 (7%)","3,302 (4%)"
Forever for a Year,"Gottfred, B. T.",147379248.0,https://www.goodreads.com/book/show/147379248-forever-for-a-year-by-b-t-gottfred?from_search=true&from_srp=true&qid=eYLlnZ57cx&rank=1,True,"Forever for a Year Gottfred, B. T.",3.08,1512,,,281 (18%),315 (20%),408 (26%),260 (17%),248 (16%)
Haunted,"Palahniuk, Chuck",22288.0,https://www.goodreads.com/book/show/22288.Haunted?from_search=true&from_srp=true&qid=JkHNbM4E1o&rank=1,True,"Haunted Palahniuk, Chuck",3.59,111387,,,"27,793 (24%)","34,625 (31%)","30,548 (27%)","12,678 (11%)","5,743 (5%)"
