book_title,challenge_reasons,num_reasons,primary_reason
On Mother's Lap,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Celebrating Different Beliefs,Age-appropriateness concerns,1,Age-appropriateness concerns
Coolies,Age-appropriateness concerns,1,Age-appropriateness concerns
"Dad, Jackie, and Me",Age-appropriateness concerns,1,Age-appropriateness concerns
Maus II: A Survivor's Tale: And Here My Troubles Began,Race & systemic inequality,1,Race & systemic inequality
The Rough-Face Girl,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Running the Road to ABC,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
A Case of Sense,Age-appropriateness concerns,1,Age-appropriateness concerns
Target,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma,3,Age-appropriateness concerns
Amina's Voice (Amina's Voice Series),,0,Uncategorized
My Name Is Sally Little Song,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
My Mother's Sari,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Nya's Long Walk: A Step at a Time,Age-appropriateness concerns,1,Age-appropriateness concerns
The Gift of Ramadan,Age-appropriateness concerns; Religion & worldview,2,Age-appropriateness concerns
"Etched in Clay: The Life of Dave, Enslaved Potter and Poet",Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Maus 1: A Survivor's Tale: My Father Bleeds History,Mental health & trauma; Race & systemic inequality,2,Mental health & trauma
Esperanza Rising,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Soldier for Equality: José de la Luz Sáenz and the Great War,Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
"10,000 Dresses",Age-appropriateness concerns,1,Age-appropriateness concerns
Dim Sum for Everyone!,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Making a Play (The Field Party Series),Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Two Roads,Age-appropriateness concerns; Mental health & trauma; Race & systemic inequality,3,Age-appropriateness concerns
Panic,Age-appropriateness concerns; Mental health & trauma; Violence & mature themes,3,Age-appropriateness concerns
A Handful of Stars,Age-appropriateness concerns,1,Age-appropriateness concerns
