book_title,challenge_reasons,num_reasons,primary_reason
We Are Big Time,Age-appropriateness concerns,1,Age-appropriateness concerns
What Girls are Made Of,Age-appropriateness concerns; Gender politics & feminism; Sexual or romantic content; Violence & mature themes,4,Age-appropriateness concerns
Welcome to St. Hell: My Trans Teen Misadventure: A Graphic Novel,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma,3,Age-appropriateness concerns
Cupid's Revenge,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Diary of a Confused Feminist,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Face It,LGBTQ+ identity & sexuality; Mental health & trauma; Sexual or romantic content,3,LGBTQ+ identity & sexuality
What's the T?: The Guide to All Things Trans and/or Nonbinary,LGBTQ+ identity & sexuality; Sexual or romantic content; Violence & mature themes,3,LGBTQ+ identity & sexuality
Ancient Greece and the Olympics: A Nonfiction Companion to Magic Tree House,Age-appropriateness concerns,1,Age-appropriateness concerns
Attila the Hun: Leader of the Barbarian Hordes,,0,Uncategorized
Behind the Mask,Violence & mature themes,1,Violence & mature themes
Black Duck,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Blood on the River: James Town 1607,Age-appropriateness concerns,1,Age-appropriateness concerns
Business Ethics in Islam,,0,Uncategorized
"Catherine, Called Birdy",Age-appropriateness concerns,1,Age-appropriateness concerns
Counting Down with You,Age-appropriateness concerns,1,Age-appropriateness concerns
El Libro de la Familia/The Family Book (Spanish Edition),Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
"Eloise and the Strange Museum Visit: Learning to Make Reasoned, Ethical Decisions",,0,Uncategorized
Enrique's Journey: The Story of a Boy's Dangerous Odyssey to Reunite with His Mother,Race & systemic inequality,1,Race & systemic inequality
Gentle Annie: The True Story of a Civil War Nurse,,0,Uncategorized
"I, Emma Freke",Age-appropriateness concerns,1,Age-appropriateness concerns
Lionclaw,Age-appropriateness concerns,1,Age-appropriateness concerns
Losing Joe's Place,Age-appropriateness concerns,1,Age-appropriateness concerns
Lost on a Mountain in Maine,Age-appropriateness concerns,1,Age-appropriateness concerns
Lying Out Loud: A Companion to The DUFF,Age-appropriateness concerns,1,Age-appropriateness concerns
Minerva Clark Gets a Clue,Age-appropriateness concerns; Sexual or romantic content; Violence & mature themes,3,Age-appropriateness concerns
"My Family, Your Family",Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
"My Last Skirt: The Story of Jennie Hodgers, Union Soldier",Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Odds Are Good: An Oddly Enough and Odder Than Ever Omnibus,Age-appropriateness concerns,1,Age-appropriateness concerns
Outlaw Girl of Sherwood Forest,Age-appropriateness concerns,1,Age-appropriateness concerns
Outlaw Princess of Sherwood,Age-appropriateness concerns,1,Age-appropriateness concerns
Pay It Forward (Young Readers Edition),Age-appropriateness concerns,1,Age-appropriateness concerns
Real Friends,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Recruited,Age-appropriateness concerns,1,Age-appropriateness concerns
Restless Spirit: The Life and Work of Dorothea Lange,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
Rogue Wave: And Other Red-Blooded Sea Stories,,0,Uncategorized
Rowan Hood Returns: The Final Chapter,Age-appropriateness concerns,1,Age-appropriateness concerns
Sarah Bishop,Age-appropriateness concerns,1,Age-appropriateness concerns
Sarah's Key,Race & systemic inequality; Violence & mature themes,2,Race & systemic inequality
Secrets of the Mummies,Age-appropriateness concerns,1,Age-appropriateness concerns
Some Kind of Hate,Age-appropriateness concerns,1,Age-appropriateness concerns
Summer of Secrets,Age-appropriateness concerns,1,Age-appropriateness concerns
"TBH, I Feel the Same",Age-appropriateness concerns,1,Age-appropriateness concerns
"TBH, IDK What's Next",Age-appropriateness concerns,1,Age-appropriateness concerns
"TBH, This is So Awkward",Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
"TBH, Too Much Drama",Age-appropriateness concerns,1,Age-appropriateness concerns
"TBH, You Know What I Mean",Age-appropriateness concerns,1,Age-appropriateness concerns
Tell No One Who You Are: The Hidden Childhood of Regine Miller,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
The Big Lie: A True Story of the Holocaust,Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
The Crossing,Age-appropriateness concerns,1,Age-appropriateness concerns
The Da Vinci Code,Violence & mature themes,1,Violence & mature themes
The Egypt Game,Age-appropriateness concerns,1,Age-appropriateness concerns
The Eyes of the Amaryllis,Age-appropriateness concerns,1,Age-appropriateness concerns
"The Journal of James Edmond Pease: A Civil War Union Soldier, Virginia, 1863",,0,Uncategorized
The Magical Misfits,Age-appropriateness concerns,1,Age-appropriateness concerns
The Magical Misfits: The Minor Third,Age-appropriateness concerns,1,Age-appropriateness concerns
The Magical Misfits: The Second Story,Age-appropriateness concerns; Mental health & trauma,2,Age-appropriateness concerns
The Princess Trap,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
The Squared Circle,Age-appropriateness concerns,1,Age-appropriateness concerns
There's Only One You,Age-appropriateness concerns,1,Age-appropriateness concerns
These Unlucky Stars,Age-appropriateness concerns,1,Age-appropriateness concerns
To Be a Slave,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
True Believer (NS),,0,Uncategorized
Zara Hossin is Here,,0,Uncategorized
Galatea: A Short Story,,0,Uncategorized
Check & Mate,Age-appropriateness concerns,1,Age-appropriateness concerns
Nothing,Age-appropriateness concerns,1,Age-appropriateness concerns
"Foundations in Personal Finance, 2022, 4th Edition",,0,Uncategorized
"L8R, G8R",Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Life Is Funny,Age-appropriateness concerns,1,Age-appropriateness concerns
Man O' War,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Nightmares and dreamscapes,,0,Uncategorized
Nobody Does it Better: A Gossip Girl Novel,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't be Ruby Oliver",Age-appropriateness concerns,1,Age-appropriateness concerns
TTYL,Age-appropriateness concerns; Sexual or romantic content; Violence & mature themes,3,Age-appropriateness concerns
Water For Elephants,Mental health & trauma; Sexual or romantic content,2,Mental health & trauma
YOLO,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
"On the Bright Side, I'm Now the Girlfriend of a Sex God",Sexual or romantic content,1,Sexual or romantic content
City of Saints and Thieves,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Ironfire: An Epic Novel of Love and War,Violence & mature themes,1,Violence & mature themes
It Starts with Us,,0,Uncategorized
Laid: Young People's Experience with Sex in an Easy-Access Culture,Sexual or romantic content,1,Sexual or romantic content
A Mighty Long Way: My Journey to Justice at Little Rock Central High School,Age-appropriateness concerns,1,Age-appropriateness concerns
All Quiet on the Western Front,Violence & mature themes,1,Violence & mature themes
Little Rock Girl: How A Photograph Changed the Gight for Integration,Age-appropriateness concerns,1,Age-appropriateness concerns
October Sky/Rocket Boys,,0,Uncategorized
My Maddy,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Sewing the Rainbow: A Story About Gilbert Baker,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Future Home of the Living God,,0,Uncategorized
Specimen Days,,0,Uncategorized
The Curious Incident of the Dog in the Night-Time,Violence & mature themes,1,Violence & mature themes
The Great Big Book of Families,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
The Vanishing Act of Esme Lennox,,0,Uncategorized
The Rainbow Parade,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Call Me Max,,0,Uncategorized
Grandad's Pride,Age-appropriateness concerns,1,Age-appropriateness concerns
50 Queers Who Changed the World: A Celebration of LGBTQ+ Icons,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
500 AP Psychology Questions to Know By Test Day,,0,Uncategorized
A Burning,,0,Uncategorized
A Child's Introduction to Pride: The Inspirational History and Culture of the LGBTQIA+ Community,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
A Girl's Guide to Joining the Resistance: A Feminist Handbook on Fighting for Good,Race & systemic inequality,1,Race & systemic inequality
A History of Racism in America,Race & systemic inequality,1,Race & systemic inequality
A House for Everyone: A Story to Help Children Learn About Gender Identity and Gender Expression,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
A Smart Girl's Guide to Race & Inclusion: Standing Up To Racism and Building A Better World,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
A Terrible Thing to Waste: Environmental Racism and Its Assault on the American Mind,Race & systemic inequality,1,Race & systemic inequality
Ab(solutely) Normal: Short Stories that Smash Mental Health Stereotypes,,0,Uncategorized
Abnormal Psychology,,0,Uncategorized
Activist Athletes: When Sports and Politics Mix,,0,Uncategorized
Afterglow,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma,3,Age-appropriateness concerns
Airlock,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma,3,Age-appropriateness concerns
Alex as Well,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
All Bodies Are Wonderful: Use Science to Celebrate Everyone's Body!,Age-appropriateness concerns,1,Age-appropriateness concerns
All Kinds of Other,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
All Out: The No-Longer-Secret Stories of Queer Teens throughout the Ages,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Violence & mature themes,3,Age-appropriateness concerns
All You Need Is Love: Celebrating Families of All Shapes and Sizes,Age-appropriateness concerns,1,Age-appropriateness concerns
Always the Almost,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
"An ABC of Equality, Vol 1",Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Ander & Santi Were Here,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
"Anti-Racism: Powerful Voices, Inspiring Ideas",LGBTQ+ identity & sexuality; Race & systemic inequality,2,LGBTQ+ identity & sexuality
Anything But Fine,Age-appropriateness concerns,1,Age-appropriateness concerns
AP Psychology,,0,Uncategorized
"AP Psychology Prep Plus, 2020-2021",,0,Uncategorized
"AP Psychology, 2016",,0,Uncategorized
AP Q&A Psychology: 600 Questions and Answers,,0,Uncategorized
Are America's Wealthy Too Powerful?,,0,Uncategorized
Are There Two Americas,,0,Uncategorized
Are You A Boy or Are You A Girl?,Age-appropriateness concerns,1,Age-appropriateness concerns
As Nature Made Him: The Boy Who Was Raised as A Girl,,0,Uncategorized
Atrocities in Action,Age-appropriateness concerns,1,Age-appropriateness concerns
Auntie Uncle: Drag Queen Hero,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Baby Drag Queen,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Band Together,Age-appropriateness concerns,1,Age-appropriateness concerns
Barron's AP Psychology Premium,,0,Uncategorized
Be Amazing: A History of Pride,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Be Your True Self (Social Justice and You),Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Beating Heart Baby,Age-appropriateness concerns,1,Age-appropriateness concerns
Before I Had The Words: On Being a Transgender Young Adult,Sexual or romantic content,1,Sexual or romantic content
Being Transgender in America,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Better Than We Found It: Conversations to Help Save the World,Violence & mature themes,1,Violence & mature themes
"Beyond Gender Binaries: The History of Trans, Intersex, and Third-Gender Individuals",LGBTQ+ identity & sexuality; Sexual or romantic content,2,LGBTQ+ identity & sexuality
Bianca Torre is Afraid of Everything,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma; Violence & mature themes,4,Age-appropriateness concerns
"Biased: Uncovering the Hidden Prejudice That Shapes What We See, Think, and Do",,0,Uncategorized
Black Lives Matter (DH),Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
Black Lives Matter (MG),Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
Black Lives Matter (SEB),Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
Black Nerd Problems: Essays,,0,Uncategorized
"Black Skin, White Masks",Race & systemic inequality,1,Race & systemic inequality
Bless the Blood: A Cancer Memoir,LGBTQ+ identity & sexuality; Race & systemic inequality,2,LGBTQ+ identity & sexuality
"Boys Run the Riot, Vol. 1",LGBTQ+ identity & sexuality; Mental health & trauma,2,LGBTQ+ identity & sexuality
"Boys Run the Riot, Vol. 2",LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
"Boys Run the Riot, Vol. 3",LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
"Boys Run the Riot, Vol. 4",LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Breathe: Journeys to Healthy Binding,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Bright World,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
"Brown Enough: True Stories about Love, Violence, the Student Loan Crisis - Hollywood, Race, Familia, and Making it in America",Sexual or romantic content,1,Sexual or romantic content
"Bum the Page: A True Story of Torching Doubts, Blazing Trails, and Igniting Change",,0,Uncategorized
Burying White Privilege: Resurrecting a Badass Christianity,Race & systemic inequality; Religion & worldview,2,Race & systemic inequality
Call and Response: The Story of Black Lives Matter,Age-appropriateness concerns,1,Age-appropriateness concerns
Canto Contigo,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Challenges for LGBTQ Teens,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Chaz Bono,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
"Cheeky Angel, Vol. 1",,0,Uncategorized
"Cheeky Angel, Vol. 2",,0,Uncategorized
"Cheeky Angel, Vol. 3",,0,Uncategorized
Chef's Kiss,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Ciel in All Directions,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
"Click, Vol. 1",Sexual or romantic content,1,Sexual or romantic content
"Click, Vol. 2",,0,Uncategorized
"Click, Vol. 3",LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
"Click, Vol. 5",LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
"Click, Vol. 6",,0,Uncategorized
"Click, Vol. 7",LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
"Click, Vol. 8",Violence & mature themes,1,Violence & mature themes
Coming Out As Transgender,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Confronting LGBTQ+ Discrimination,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Confronting Racism,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
Constellations,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Continuum,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Coping with Gender Dysphoria,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Coping with Gender Fluidity,LGBTQ+ identity & sexuality; Mental health & trauma,2,LGBTQ+ identity & sexuality
Coping with Hate and Intolerance,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Coping with Racial Inequality,Age-appropriateness concerns; Mental health & trauma; Race & systemic inequality,3,Age-appropriateness concerns
Counseling LGBTQ Americans,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Counselling Skills for Working with Gender Diversity and Identity,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Cramm This Book: So You Know WTF Is Going On in the World Today,Race & systemic inequality,1,Race & systemic inequality
Critical Perspectives on Social Justice,,0,Uncategorized
Dear Mothman,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Debbie Harry Sings in French,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
"Delusions of Gender: How Our Minds, Society, and Neurosexism Create Difference",Gender politics & feminism,1,Gender politics & feminism
Desert Queen,Age-appropriateness concerns; Sexual or romantic content,2,Age-appropriateness concerns
Dignity for All: Safeguarding LGBT Students,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Discrimination (CF),,0,Uncategorized
Discrimination (JL),,0,Uncategorized
Dismantling Global White Privilege: Equity for a Post-Western World,,0,Uncategorized
Does Equality Exist in America?,,0,Uncategorized
Door By Door: How Sarah McBride became America's First Openly Transgender Senator,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Dragging Mason County,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Dreadnought (AD),Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
"Dude, You're a Fag: Masculinity and Sexuality in High School",LGBTQ+ identity & sexuality; Sexual or romantic content,2,LGBTQ+ identity & sexuality
Elle Campbell Wins Their Weekend,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Equality & Diversity,,0,Uncategorized
"Equality, Social Justice and Our Future",Age-appropriateness concerns,1,Age-appropriateness concerns
Everything I Learned About Racism I Learned In School,Race & systemic inequality,1,Race & systemic inequality
Fair Play: How l.GBT Athletes are Claiming Their Rightful Place in Sports,LGBTQ+ identity & sexuality; Mental health & trauma,2,LGBTQ+ identity & sexuality
Feminism: Reinventing the F-Word,,0,Uncategorized
Feminist AF: A Guide to Crushing Girlhood,LGBTQ+ identity & sexuality; Race & systemic inequality; Sexual or romantic content; Violence & mature themes,4,LGBTQ+ identity & sexuality
Finding Out: An Introduction to LGBT Studies,LGBTQ+ identity & sexuality; Sexual or romantic content,2,LGBTQ+ identity & sexuality
Frankissstein,LGBTQ+ identity & sexuality; Sexual or romantic content,2,LGBTQ+ identity & sexuality
Freeing Finch,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Fresh Ink: A We Need Diverse Books Anthology,,0,Uncategorized
From #BlackLivesMatter to Black Liberation,Race & systemic inequality; Violence & mature themes,2,Race & systemic inequality
Galaxy: The Prettiest Star,Violence & mature themes,1,Violence & mature themes
"Gay Characters in Theater, Movies, and Television: New Roles, New Attitudes",Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Gay Club!,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Gay Rights,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Gender Dysphoria,,0,Uncategorized
Gender Inequality in Sports: From Tiile IX lo World Titles,LGBTQ+ identity & sexuality; Sexual or romantic content,2,LGBTQ+ identity & sexuality
Gender Politics,,0,Uncategorized
"Gender Rebels: 30 Trans, Nonbinary, and Gender Expansive Heroes Past and Present",LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Golden Boy: Blue-Eyed Boy or Girl Next Door,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Green,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Growing Up LGBTQ,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma,3,Age-appropriateness concerns
Growing Up Trans: In Our Own Words,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Gumballs,Sexual or romantic content,1,Sexual or romantic content
Happy Families,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
He/She/They: How We Talk About Gender and Why It Matters,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Heads Up Sociology,,0,Uncategorized
Hell Followed With Us,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
"Hit the Road, Manny",Age-appropriateness concerns,1,Age-appropriateness concerns
Home and Family Relationships,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Homebody: A Graphic Memoir of Gender Identity Exploration,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
House of Rougeaux,Mental health & trauma,1,Mental health & trauma
How Can I Be An Ally,Age-appropriateness concerns,1,Age-appropriateness concerns
How to Be a (Young) Antiracist,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
How to Fight Racism Young Readers Edition: A Guide to Standing Up for Racial Justice,Age-appropriateness concerns; Race & systemic inequality,2,Age-appropriateness concerns
How to They/Them: A Visual Guide to Nonbinary Pronouns and the World of Gender Fluidity,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
I Am An AntiRacist Superhero,Age-appropriateness concerns; Race & systemic inequality; Violence & mature themes,3,Age-appropriateness concerns
I Hope We Choose Love: A Trans Girl's Notes from the End of the World,LGBTQ+ identity & sexuality; Violence & mature themes,2,LGBTQ+ identity & sexuality
I Was Born for This,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma,3,Age-appropriateness concerns
I'm Still Here: Black Dignity in a World Made For Whiteness,Age-appropriateness concerns; Violence & mature themes,2,Age-appropriateness concerns
Identity Politics,,0,Uncategorized
If I Can Give You That,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma,3,Age-appropriateness concerns
If You're A Drag Queen and You Know It,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Inside the LGBTQ+ Movement,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Intersectionality and Identity Politics,,0,Uncategorized
J is for Justice! An Activism Alphabet,Age-appropriateness concerns,1,Age-appropriateness concerns
Jackalope Springs Eternal,Age-appropriateness concerns,1,Age-appropriateness concerns
Jazz Jennings: Voice for LGBTQ Youth,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Just Shy of Ordinary,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma,3,Age-appropriateness concerns
Lakelore,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Lana Wachowski,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Laverne Cox (ES),Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Laverne Cox (MV),Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
LGBT Discrimination,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
LGBT Youth Issues Today: A Reference Handbook,LGBTQ+ identity & sexuality; Sexual or romantic content,2,LGBTQ+ identity & sexuality
LGBTQ Discrimination in America,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma,3,Age-appropriateness concerns
LGBTQ Human Rights Movement,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Violence & mature themes,3,Age-appropriateness concerns
LGBTQ Rights,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
LGBTQ Rights and the Law,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
LGBTQ Service in the Armed Forces,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Violence & mature themes,3,Age-appropriateness concerns
LGBTQ Social Movements in America,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
LGBTQ+ History Book,,0,Uncategorized
LGBTQ+ Icons: A Celebration of Historical LGBTQ+ Icons in the Arts,,0,Uncategorized
LGBTQ+ Rights,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Light from Uncommon Stars,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Linus and Etta Could Use a Win,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Living with Gender Dysphoria,LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Lofladoros. Un plan terrible (Lumberjanes: A Terrible Plan Spanish Edition),,0,Uncategorized
Long Time Coming: Reckoning with Race in America,Race & systemic inequality; Violence & mature themes,2,Race & systemic inequality
Looking at Privilege and Power,,0,Uncategorized
Looking For Group,,0,Uncategorized
Love & Other Curses,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Love is Love,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Sexual or romantic content,3,Age-appropriateness concerns
Love Is Love: An Important LGBTQ Pride Book for Kids About Gay Parents and Diverse Families,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma,3,Age-appropriateness concerns
"Love Me For Who I Am, Vol. 2",LGBTQ+ identity & sexuality,1,LGBTQ+ identity & sexuality
Lumberjanes: A Bird's Eye View,Age-appropriateness concerns,1,Age-appropriateness concerns
Lumberjanes: A Terrible Plan,Age-appropriateness concerns,1,Age-appropriateness concerns
Lumberjanes: Bonus Tracks,,0,Uncategorized
Lumberjanes: Out of Time,Age-appropriateness concerns,1,Age-appropriateness concerns
Lumberjanes: Parents' Day,Age-appropriateness concerns,1,Age-appropriateness concerns
Lumberjanes: Stone Cold,Age-appropriateness concerns,1,Age-appropriateness concerns
Lunar Boy,Age-appropriateness concerns,1,Age-appropriateness concerns
M is for Monster,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
"Magical Boy (Series, Title Not Specifed)",Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
"Magical Boy, Vol 1",Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Male Privilege,,0,Uncategorized
Marley's Pride,Age-appropriateness concerns,1,Age-appropriateness concerns
Masculinity in the Twenty-First Century,,0,Uncategorized
Modern HERstory: Stories of Women and Nonbinary People Rewriting History,LGBTQ+ identity & sexuality; Race & systemic inequality,2,LGBTQ+ identity & sexuality
Molly's Tuxedo,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Mooncakes,Age-appropriateness concerns,1,Age-appropriateness concerns
Most Ardently: A Pride & Prejudice Remix,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
My Dad Thinks I'm a Boy?!: A Trans Positive Children's Book,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
My Own Way: Celebrating Gender Freedom for Kids,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
My Shadow is Pink,Age-appropriateness concerns,1,Age-appropriateness concerns
"Navigating Intersectionality: How Race, Class, and Gender Overlap",,0,Uncategorized
Nick and Charlie: A Heartstopper Novella,Age-appropriateness concerns,1,Age-appropriateness concerns
No One Left But You,Age-appropriateness concerns; LGBTQ+ identity & sexuality; Mental health & trauma; Violence & mature themes,4,Age-appropriateness concerns
"Not He or She, I'm Me",Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
Nothing Ever Happens Here,Age-appropriateness concerns; LGBTQ+ identity & sexuality,2,Age-appropriateness concerns
"Okay, Cupid",Age-appropriateness concerns,1,Age-appropriateness concerns
OMG Queer: Short Stories by Queer Youth,,0,Uncategorized
