book_title,author,goodreads_id,goodreads_url,found,search_query
Redwood and Ponytail,"Holt, K. A.",38326884.0,https://www.goodreads.com/book/show/38326884-redwood-and-ponytail?from_search=true&from_srp=true&qid=n3s9BMnS2w&rank=1,True,"Redwood and Ponytail Holt, K. A."
Smoke,"Hopkins, Ellen",160146150.0,https://www.goodreads.com/book/show/160146150-smoke-by-ellen-hopkins-10-sep-2013-hardcover?from_search=true&from_srp=true&qid=RnPcYWdC1q&rank=1,True,"Smoke Hopkins, Ellen"
The Bluest Eye,"Morrison, Toni",11337,https://www.goodreads.com/book/show/11337.The_Bluest_Eye?from_search=true&from_srp=true&qid=sVPU9w5FXA&rank=3,True,"The Bluest Eye Morrison, Toni"
The Hate U Give,"Thomas, Angie",44805980.0,https://www.goodreads.com/book/show/44805980-the-hate-u-give-by-angie-thomas-book-analysis?from_search=true&from_srp=true&qid=Nt6Q7C77fo&rank=1,True,"The Hate U Give Thomas, Angie"
The Kite Runner,"Hosseini, Khaled",20647272,https://www.goodreads.com/book/show/20647272-the-kite-runner?from_search=true&from_srp=true&qid=ya6joMbeW0&rank=3,True,"The Kite Runner Hosseini, Khaled"
The Perks of Being a Wallflower,"Chbosky, Stephen",22628,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower?from_search=true&from_srp=true&qid=M33pf6Da64&rank=2,True,"The Perks of Being a Wallflower Chbosky, Stephen"
Thirteen Reasons Why,"Asher, Jay",29844228,https://www.goodreads.com/book/show/29844228-thirteen-reasons-why?from_search=true&from_srp=true&qid=7i9DZP2Ech&rank=3,True,"Thirteen Reasons Why Asher, Jay"
You Should See Me in a Crown,"Johnson, Leah",50160619,https://www.goodreads.com/book/show/50160619-you-should-see-me-in-a-crown?from_search=true&from_srp=true&qid=GxMezDykeW&rank=2,True,"You Should See Me in a Crown Johnson, Leah"
Ana on the Edge,"Sass, A. J.",50998103.0,https://www.goodreads.com/book/show/50998103-ana-on-the-edge?from_search=true&from_srp=true&qid=nMBiVGw6sx&rank=1,True,"Ana on the Edge Sass, A. J."
The Ship We Built,"Bean, Lexie",42393479.0,https://www.goodreads.com/book/show/42393479-the-ship-we-built?from_search=true&from_srp=true&qid=9BYHFO2rxq&rank=1,True,"The Ship We Built Bean, Lexie"
"You Don’t Know Everything, Jilly P!","Gino, Alex",37822657.0,https://www.goodreads.com/book/show/37822657-you-don-t-know-everything-jilly-p?from_search=true&from_srp=true&qid=DJpfGIAHQJ&rank=1,True,"You Don’t Know Everything, Jilly P! Gino, Alex"
A Thousand Splendid Suns,"Hosseini, Khaled",4421244.0,https://www.goodreads.com/book/show/4421244-bookclub-in-a-box-discusses-the-novel-a-thousand-splendid-suns-by-khale?from_search=true&from_srp=true&qid=M8MdSMAZVM&rank=1,True,"A Thousand Splendid Suns Hosseini, Khaled"
Blood of my Blood,"Lyga, Barry",140241158.0,https://www.goodreads.com/book/show/140241158-blood-of-my-blood-by-barry-lyga-7-may-2015-paperback?from_search=true&from_srp=true&qid=Aeoai8FFo3&rank=1,True,"Blood of my Blood Lyga, Barry"
Grim,"Johnson,Christine",,,False,"Grim Johnson,Christine"
Into the Garden,"Andrews, V. C.",639750.0,https://www.goodreads.com/book/show/639750.Into_the_Garden?from_search=true&from_srp=true&qid=ENUlcwbAQc&rank=1,True,"Into the Garden Andrews, V. C."
The Human Stain,"Roth, Philip",11734.0,https://www.goodreads.com/book/show/11734.The_Human_Stain?from_search=true&from_srp=true&qid=ndm1A38lPW&rank=1,True,"The Human Stain Roth, Philip"
All Boys Aren't Blue,"Johnson, George M.",44280883.0,https://www.goodreads.com/book/show/44280883-all-boys-aren-t-blue?from_search=true&from_srp=true&qid=rY9y9oN9rN&rank=1,True,"All Boys Aren't Blue Johnson, George M."
Breathless (JN),"Niven, Jennifer",,,False,"Breathless (JN) Niven, Jennifer"
Damsel,"Arnold, Elana K.",36260155.0,https://www.goodreads.com/book/show/36260155-damsel?from_search=true&from_srp=true&qid=1kvelJ6VwI&rank=1,True,"Damsel Arnold, Elana K."
"Heartstopper, Vol. 1","Oseman, Alice",199014264.0,https://www.goodreads.com/book/show/199014264-heartstopper-vol-1---collector-s-edition?from_search=true&from_srp=true&qid=PTuRiYjmjb&rank=1,True,"Heartstopper, Vol. 1 Oseman, Alice"
"Heartstopper, Vol. 2","Oseman, Alice",199339487.0,https://www.goodreads.com/book/show/199339487-heartstopper-vol-2---collector-s-edition?from_search=true&from_srp=true&qid=dqXnaH7iJp&rank=1,True,"Heartstopper, Vol. 2 Oseman, Alice"
