book_title,ban_date,avg_search_before,avg_search_after,max_search_before,max_search_after,min_search_before,min_search_after,percent_change,absolute_change,volatility,data_collected,collection_successful,state,error
Dear Martin,2022-04-01,21.37,32.88,100.0,100.0,0.0,0.0,53.87,11.51,24.88,2026-02-05 21:58:11,True,Mississippi,
What Girls Are Made Of,2022-04-01,7.4,15.0,100.0,100.0,0.0,0.0,102.7,7.6,22.05,2026-02-05 21:58:17,True,Texas,
Monday's Not Coming,2022-04-01,2.01,4.56,100.0,100.0,0.0,0.0,126.52,2.54,16.45,2026-02-05 21:58:22,True,Mississippi,
Almost Perfect,2022-04-01,25.24,32.3,100.0,100.0,0.0,0.0,27.95,7.06,28.45,2026-02-05 21:58:27,True,Florida,
Melissa (George),2022-04-01,13.34,25.53,100.0,100.0,0.0,0.0,91.34,12.19,21.96,2026-02-05 21:58:32,True,Florida,
Worm Loves Worm,2022-04-01,1.11,1.11,100.0,100.0,0.0,0.0,0.0,0.0,10.48,2026-02-05 21:58:42,True,Florida,
The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity,2022-04-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 21:58:48,True,Florida,
We March,2021-08-01,27.6,25.74,100.0,100.0,0.0,0.0,-6.72,-1.86,36.07,2026-02-05 21:58:58,True,Pennsylvania,
Morris Micklewhite and the Tangerine Dress,2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 21:59:03,True,Pennsylvania,
Lola Levine Is Not Mean! (Lola Levine Series),2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 21:59:28,True,Pennsylvania,
Who Was Lucille Ball? (Who was...? Series),2021-08-01,1.11,1.11,100.0,100.0,0.0,0.0,0.0,0.0,10.48,2026-02-05 21:59:33,True,Pennsylvania,
Each Kindness,2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 21:59:44,True,Pennsylvania,
This Is My America,2021-08-01,12.11,4.09,100.0,100.0,0.0,0.0,-66.24,-8.02,23.98,2026-02-05 21:59:54,True,Pennsylvania,
How to Be an Antiracist,2021-08-01,5.03,3.21,100.0,100.0,0.0,0.0,-36.2,-1.82,17.63,2026-02-05 22:00:04,True,Pennsylvania,
Always my Dad,2021-08-01,3.23,1.11,100.0,100.0,0.0,0.0,-65.64,-2.12,12.6,2026-02-05 22:00:10,True,Pennsylvania,
"47,000 Beads",2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:00:14,True,Pennsylvania,
25 Women Who Ruled,2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:00:19,True,Pennsylvania,
One Green Apple,2021-08-01,3.14,2.22,100.0,100.0,0.0,0.0,-29.33,-0.92,15.91,2026-02-05 22:00:35,True,Pennsylvania,
"Mission Star-Power (Jaden Toussaint, the Greatest Series)",2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:00:40,True,Pennsylvania,
All the World,2021-08-01,74.41,79.96,100.0,100.0,59.0,61.0,7.45,5.54,10.5,2026-02-05 22:00:46,True,Pennsylvania,
Hey Black Child,2021-08-01,2.01,0.0,100.0,0.0,0.0,0.0,-100.0,-2.01,13.42,2026-02-05 22:00:51,True,Pennsylvania,
Because,2021-08-01,58.96,71.56,100.0,100.0,44.0,46.0,21.37,12.6,16.97,2026-02-05 22:01:07,True,Pennsylvania,
"Jasmine Toguchi, Drummer Girl (Jasmine Toguchi Series)",2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:01:12,True,Pennsylvania,
Team BFF: Race to the Finish! (Girls Who Code Series),2021-08-01,1.11,0.0,100.0,0.0,0.0,0.0,-100.0,-1.11,10.48,2026-02-05 22:01:17,True,Pennsylvania,
Hands Up!,2021-08-01,75.17,84.04,100.0,100.0,58.0,66.0,11.81,8.88,8.76,2026-02-05 22:01:23,True,Pennsylvania,
The Power of One: Every Act of Kindness Counts,2021-08-01,0.0,1.11,0.0,100.0,0.0,0.0,inf,1.11,10.48,2026-02-05 22:01:28,True,Pennsylvania,
Yasmin the Friend (Yasmin Series),2021-08-01,1.91,0.0,100.0,0.0,0.0,0.0,-100.0,-1.91,12.85,2026-02-05 22:01:33,True,Pennsylvania,
Pride: The Story of Harvey Milk and the Rainbow Flag,2021-08-01,0.0,1.99,0.0,100.0,0.0,0.0,inf,1.99,13.29,2026-02-05 22:01:43,True,Pennsylvania,
